x,y
163,348
162,348
160,350
159,350
158,351
157,351
155,353
154,353
152,355
151,355
148,358
147,358
144,361
143,361
140,364
139,364
136,367
135,367
132,370
131,370
128,373
127,373
126,374
126,378
129,381
129,382
135,388
135,389
141,395
141,396
147,402
147,403
149,405
190,405
190,389
191,388
191,367
190,366
190,364
189,363
189,361
188,360
188,358
187,357
187,355
186,354
186,353
185,352
185,350
184,349
184,347
183,346
183,344
182,343
182,341
181,340
181,339
x,y
x,y
127,319
125,321
125,322
124,323
124,324
122,326
122,327
120,329
120,330
119,331
119,335
120,336
120,337
122,339
122,340
124,342
124,343
125,344
125,345
127,347
130,347
132,345
132,344
133,343
133,342
135,340
135,339
137,337
137,336
138,335
138,331
137,330
137,329
135,327
135,326
133,324
133,323
132,322
132,321
130,319
x,y
x,y
58,295
55,298
54,298
50,302
49,302
45,306
44,306
40,310
39,310
38,311
38,313
37,314
37,327
36,328
36,335
37,336
37,338
38,338
39,339
40,339
42,341
43,341
44,342
45,342
46,343
47,343
48,344
49,344
50,345
51,345
53,347
54,347
55,348
56,348
57,349
58,349
59,350
60,350
61,351
62,351
64,353
65,353
66,354
67,354
68,355
69,355
70,356
71,356
72,357
73,357
75,359
76,359
77,360
78,360
79,361
80,361
81,362
82,362
83,363
87,363
87,361
88,360
88,358
89,357
89,355
90,354
90,352
91,351
91,349
92,348
92,346
93,345
93,342
94,341
94,339
95,338
95,336
96,335
96,330
95,329
94,329
92,327
91,327
89,325
88,325
86,323
85,323
83,321
82,321
80,319
79,319
77,317
76,317
70,311
70,310
69,309
69,308
68,307
68,306
67,305
67,304
65,302
65,301
64,300
64,299
63,298
63,297
62,296
62,295
x,y
x,y
355,293
354,294
342,294
341,295
334,295
333,296
331,296
331,297
330,298
330,299
329,300
329,301
328,302
328,303
327,304
327,306
326,307
326,308
325,309
325,310
324,311
324,312
323,313
323,314
322,315
322,316
321,317
321,319
320,320
320,321
319,322
319,326
327,334
328,334
335,341
339,341
340,340
342,340
343,339
345,339
346,338
348,338
349,337
351,337
352,336
354,336
355,335
357,335
358,334
360,334
361,333
363,333
364,332
366,332
366,325
365,324
365,320
364,319
364,314
363,313
363,308
362,307
362,303
361,302
361,297
360,296
360,294
358,294
357,293
x,y
x,y
187,293
187,294
186,295
186,297
185,298
185,299
184,300
184,302
183,303
183,305
182,306
182,311
183,312
183,314
184,315
184,316
185,317
185,318
186,319
186,320
187,321
187,322
188,323
188,325
189,326
189,327
190,328
190,329
191,330
191,331
192,332
192,333
194,333
195,334
197,334
198,335
200,335
201,336
204,336
205,337
208,337
209,338
214,338
215,337
216,337
217,336
218,336
219,335
220,335
221,334
222,334
223,333
224,333
225,332
227,332
228,331
229,331
230,330
231,330
232,329
233,329
234,328
235,328
236,327
237,327
238,326
239,326
240,325
241,325
242,324
243,324
243,319
242,318
242,316
241,315
241,313
240,312
240,310
239,309
239,307
238,306
238,304
237,303
237,301
236,300
236,298
235,297
235,295
231,295
230,296
229,296
228,297
227,297
226,298
224,298
223,299
222,299
221,300
220,300
219,301
218,301
217,302
215,302
214,301
212,301
211,300
209,300
208,299
206,299
205,298
204,298
203,297
201,297
200,296
198,296
197,295
196,295
195,294
193,294
192,293
x,y
x,y
419,287
418,288
417,288
416,289
415,289
414,290
413,290
412,291
411,291
410,292
409,292
408,293
407,293
406,294
405,294
403,296
402,296
401,297
400,297
399,298
398,298
397,299
396,299
395,300
394,300
393,301
392,301
391,302
390,302
390,304
389,305
389,313
388,314
388,327
387,328
387,331
388,332
388,334
389,334
390,335
392,335
393,336
394,336
395,337
396,337
397,338
399,338
400,339
401,339
402,340
403,340
404,341
406,341
407,342
408,342
409,343
410,343
411,344
413,344
414,345
415,345
416,346
417,346
418,347
420,347
421,348
422,348
423,349
424,349
425,350
427,350
428,351
432,351
432,350
433,349
433,347
434,346
434,344
435,343
435,342
436,341
436,339
437,338
437,336
438,335
438,334
439,333
439,331
440,330
440,328
441,327
441,326
442,325
442,323
443,322
443,320
444,319
444,318
445,317
445,315
446,314
446,312
447,311
447,307
445,305
444,305
439,300
438,300
433,295
432,295
427,290
426,290
423,287
x,y
x,y
301,276
301,277
299,279
299,280
297,282
297,283
296,284
296,285
294,287
294,288
292,290
292,291
291,292
291,293
290,294
290,297
291,298
291,299
292,300
292,301
294,303
294,304
296,306
296,307
297,308
297,309
299,311
299,312
301,314
301,315
305,315
305,314
307,312
307,311
309,309
309,308
311,306
311,305
312,304
312,303
314,301
314,300
316,298
316,293
314,291
314,290
312,288
312,287
310,285
310,284
309,283
309,282
307,280
307,279
305,277
305,276
x,y
x,y
439,251
438,252
438,253
434,257
434,258
430,262
430,263
426,267
426,268
423,271
423,275
459,275
459,271
457,269
457,268
453,264
453,263
449,259
449,258
445,254
445,253
443,251
x,y
x,y
236,242
236,243
235,244
235,245
234,246
234,247
233,248
233,249
232,250
232,251
231,252
231,253
230,254
230,255
229,256
229,257
228,258
228,262
229,263
229,264
230,265
230,266
231,267
231,269
232,270
232,271
233,272
233,273
234,274
234,275
235,276
235,277
236,278
236,279
237,280
237,281
238,282
238,283
249,283
250,282
264,282
265,281
272,281
272,280
274,278
274,277
275,276
275,275
276,274
276,273
278,271
278,270
279,269
279,268
280,267
280,266
282,264
282,263
283,262
283,261
284,260
284,256
282,256
281,255
274,255
273,254
262,254
261,253
259,253
258,254
256,254
252,258
251,258
247,254
247,253
246,252
246,251
244,249
244,248
242,246
242,245
240,243
240,242
x,y
x,y
138,242
118,262
118,263
116,265
116,266
115,267
115,268
113,270
113,271
112,272
112,273
110,275
110,276
108,278
108,279
107,280
107,281
105,283
105,284
104,285
104,289
105,290
106,290
109,293
110,293
114,297
115,297
118,300
119,300
121,302
128,302
129,301
136,301
137,300
143,300
144,299
150,299
151,298
154,298
154,295
155,294
155,289
156,288
156,282
157,281
157,275
158,274
158,267
153,267
152,268
151,268
150,269
148,269
147,270
146,270
145,271
143,271
142,272
140,272
138,274
136,272
137,271
137,269
138,268
138,264
139,263
139,259
140,258
140,254
141,253
141,249
142,248
142,242
x,y
x,y
365,217
365,219
364,220
364,223
363,224
363,227
362,228
362,232
361,233
361,236
360,237
361,238
361,241
362,242
362,244
363,245
363,248
364,249
364,252
365,253
365,256
366,257
366,258
371,258
372,259
382,259
383,260
394,260
395,261
404,261
404,257
405,256
405,249
406,248
406,240
407,239
407,231
405,231
404,230
403,230
402,231
392,231
391,232
385,232
378,225
377,225
369,217
x,y
x,y
75,216
74,217
70,217
69,218
64,218
63,219
59,219
58,220
55,220
54,221
52,221
51,222
51,223
47,227
47,228
43,232
43,233
40,236
40,237
37,240
37,242
36,243
36,255
35,256
35,262
36,263
36,265
38,265
39,266
43,266
44,267
48,267
49,268
53,268
54,269
58,269
59,270
63,270
64,271
68,271
69,272
75,272
77,270
77,269
82,264
82,263
87,258
87,257
91,253
91,252
94,249
94,245
92,245
91,244
87,244
86,243
79,243
78,242
74,242
73,241
74,240
74,239
75,238
75,236
76,235
76,234
77,233
77,232
78,231
78,230
79,229
79,228
80,227
80,226
81,225
81,223
82,222
82,221
83,220
83,216
x,y
x,y
463,205
462,206
462,208
461,209
461,211
460,212
460,215
459,216
459,223
460,224
460,227
461,228
461,230
462,231
462,233
463,234
466,234
467,233
467,231
468,230
468,227
469,226
469,224
470,223
470,216
469,215
469,213
468,212
468,209
467,208
467,206
466,205
x,y
x,y
180,199
178,201
177,201
175,203
174,203
172,205
171,205
169,207
168,207
166,209
165,209
163,211
162,211
160,213
159,213
158,214
158,215
157,216
157,217
156,218
156,219
155,220
155,221
154,222
154,224
153,225
153,226
152,227
152,231
153,232
154,232
156,234
157,234
159,236
160,236
163,239
164,239
166,241
167,241
169,243
170,243
172,245
186,245
187,246
205,246
205,232
206,231
206,213
205,213
203,211
202,211
200,209
199,209
197,207
196,207
195,206
194,206
192,204
191,204
189,202
188,202
186,200
185,200
184,199
x,y
x,y
242,193
240,195
240,196
239,197
239,198
237,200
237,201
236,202
236,203
234,205
234,206
233,207
233,208
231,210
231,211
229,213
229,214
228,215
228,216
226,218
226,219
225,220
225,224
262,224
262,220
261,219
261,218
259,216
259,215
258,214
258,213
256,211
256,210
255,209
255,208
253,206
253,205
251,203
251,202
250,201
250,200
248,198
248,197
247,196
247,195
245,193
x,y
x,y
313,192
313,193
312,194
312,197
311,198
311,201
309,203
304,198
304,197
302,195
298,195
293,200
293,201
287,207
287,211
293,217
293,218
308,233
309,233
317,241
321,241
321,240
323,238
323,237
325,235
325,234
326,233
326,232
328,230
328,229
330,227
330,226
331,225
331,224
333,222
333,221
334,220
334,214
333,213
333,209
332,208
332,205
331,204
331,201
330,200
330,198
329,198
328,197
327,197
326,196
325,196
324,195
323,195
322,194
320,194
319,193
318,193
317,192
x,y
x,y
348,173
347,174
346,174
346,175
345,176
345,197
346,198
346,199
369,199
369,174
368,174
367,173
x,y
x,y
414,165
413,166
411,166
410,167
409,167
408,168
406,168
405,169
403,169
402,170
401,170
400,171
399,171
399,172
398,173
398,174
397,175
397,176
396,177
396,178
395,179
395,184
396,185
396,187
397,188
397,190
398,191
398,193
399,194
399,196
400,197
400,198
401,199
401,201
402,202
402,203
413,203
414,204
429,204
429,203
430,202
430,201
431,200
431,199
432,198
432,196
433,195
433,194
434,193
434,192
435,191
435,190
436,189
436,188
437,187
437,185
438,184
438,183
439,182
439,178
437,178
436,177
432,177
431,176
425,176
422,173
422,171
421,170
421,169
420,168
420,167
419,166
419,165
x,y
x,y
100,147
94,153
94,154
86,162
86,163
85,164
85,165
84,166
84,167
83,168
83,169
82,170
82,171
81,172
81,173
80,174
80,175
79,176
79,177
78,178
78,179
77,180
77,181
76,182
76,183
75,184
75,188
76,189
77,189
81,193
82,193
85,196
86,196
90,200
91,200
94,203
95,203
99,207
100,207
102,209
106,209
107,208
108,208
111,205
112,205
114,203
115,203
118,200
119,200
121,198
122,198
123,197
123,192
124,191
124,181
125,180
125,170
126,169
126,160
125,160
123,158
122,158
121,157
120,157
118,155
117,155
116,154
115,154
114,153
113,153
111,151
110,151
109,150
108,150
106,148
105,148
104,147
x,y
x,y
150,145
149,146
148,146
148,147
147,148
147,170
148,171
148,172
185,172
185,146
184,146
183,145
x,y
x,y
452,131
448,135
448,136
445,139
445,140
441,144
441,145
440,146
440,149
441,150
441,151
444,154
444,155
448,159
448,160
452,164
455,164
459,160
459,159
463,155
463,154
467,150
467,146
466,145
466,144
463,141
463,140
459,136
459,135
455,131
x,y
x,y
255,130
254,131
252,131
251,132
248,132
247,133
244,133
243,134
241,134
240,135
237,135
236,136
235,136
235,137
234,138
234,141
233,142
233,145
232,146
232,149
231,150
231,153
230,154
230,157
229,158
229,164
230,165
231,165
234,168
235,168
238,171
239,171
241,173
242,173
245,176
246,176
248,178
257,178
258,177
267,177
268,176
272,176
272,174
273,173
273,171
274,170
274,167
275,166
275,164
276,163
276,160
277,159
277,156
278,155
278,150
275,147
275,146
269,140
269,139
263,133
263,132
261,130
x,y
x,y
37,113
36,114
34,114
34,115
33,116
33,117
32,118
32,119
31,120
31,121
30,122
30,123
29,124
29,125
28,126
28,128
27,129
27,130
26,131
26,132
25,133
25,135
24,136
25,137
25,143
26,144
26,151
27,152
27,156
28,157
28,159
32,159
33,160
40,160
41,161
49,161
50,162
58,162
59,161
59,160
62,157
62,156
65,153
65,152
68,149
68,148
71,145
71,144
74,141
74,140
76,138
76,137
79,134
79,133
81,131
81,127
80,127
79,126
78,126
76,124
75,124
74,123
73,123
72,122
71,122
69,120
68,120
67,119
66,119
65,118
64,118
62,116
61,116
60,115
59,115
58,114
56,114
55,113
x,y
x,y
343,109
332,120
332,121
316,137
316,139
315,140
315,152
314,153
314,158
315,159
315,161
317,161
318,162
321,162
322,163
330,163
331,162
334,162
335,161
339,161
340,160
343,160
344,159
347,159
348,158
351,158
352,157
354,157
354,156
355,155
355,153
356,152
356,149
357,148
357,146
358,145
358,143
359,142
359,140
360,139
360,137
361,136
361,134
362,133
362,128
360,126
360,125
356,121
356,120
352,116
352,115
348,111
348,110
347,109
x,y
x,y
412,94
411,95
409,95
408,96
408,97
406,99
406,100
404,102
404,103
401,106
401,107
399,109
399,110
397,112
397,119
398,120
398,124
399,125
399,128
400,129
400,132
401,133
401,135
406,135
407,134
410,134
411,133
413,133
414,132
417,132
418,131
421,131
422,130
424,130
425,129
427,129
428,128
430,128
430,127
431,126
431,124
432,123
432,121
433,120
433,118
434,117
434,115
435,114
435,113
436,112
436,110
437,109
437,107
438,106
438,104
439,103
439,101
440,100
440,96
438,96
437,95
423,95
422,94
x,y
x,y
197,57
195,59
194,59
193,60
192,60
190,62
189,62
187,64
186,64
184,66
183,66
182,67
181,67
179,69
178,69
176,71
175,71
174,72
174,73
171,76
171,77
167,81
167,82
164,85
164,86
160,90
160,91
157,94
157,95
153,99
153,100
151,102
151,106
152,106
154,108
155,108
156,109
157,109
159,111
160,111
162,113
163,113
164,114
165,114
167,116
168,116
169,117
170,117
172,119
173,119
174,120
175,120
177,122
178,122
179,123
183,123
190,116
191,116
208,99
209,99
219,89
219,85
218,84
218,83
216,81
216,80
214,78
214,77
212,75
212,74
210,72
210,71
209,70
209,69
207,67
207,66
205,64
205,63
203,61
203,60
201,58
201,57
x,y
x,y
277,40
277,41
276,42
276,43
275,44
275,45
274,46
274,48
273,49
273,50
272,51
272,52
271,53
271,54
270,55
270,56
269,57
269,59
267,61
267,62
265,64
265,65
263,67
263,68
261,70
261,71
259,73
259,74
257,76
257,77
255,79
255,83
257,83
258,84
263,84
264,85
269,85
270,86
275,86
276,87
281,87
282,88
287,88
288,89
295,89
295,87
296,86
296,84
297,83
297,81
298,80
298,78
299,77
299,75
300,74
300,72
301,71
301,69
302,68
302,66
303,65
303,63
304,62
304,60
305,59
305,55
304,55
302,53
301,53
299,51
298,51
297,50
296,50
294,48
293,48
291,46
290,46
289,45
288,45
286,43
285,43
283,41
282,41
281,40
x,y
x,y
445,38
444,39
436,39
435,40
433,40
424,49
424,50
414,60
414,64
424,74
425,74
433,82
443,82
444,81
456,81
457,80
463,80
463,79
464,78
464,76
465,75
465,72
466,71
466,69
467,68
467,66
468,65
468,63
469,62
469,60
470,59
470,54
469,53
468,53
464,49
463,49
459,45
458,45
454,41
453,41
451,39
449,39
448,38
x,y
x,y
85,31
81,35
80,35
75,40
74,40
69,45
68,45
63,50
62,50
60,52
60,57
61,58
61,60
62,61
62,63
63,64
63,66
64,67
64,69
65,70
65,72
66,73
66,75
67,76
67,77
69,77
70,78
75,78
76,79
82,79
83,80
88,80
89,81
94,81
95,82
102,82
103,81
103,80
106,77
106,76
109,73
109,72
112,69
112,68
115,65
115,64
118,61
118,60
121,57
121,56
124,53
124,52
127,49
127,48
129,46
129,42
128,42
127,41
124,41
123,40
121,40
120,39
117,39
116,38
113,38
112,37
110,37
109,36
106,36
105,35
102,35
101,34
99,34
98,33
95,33
94,32
92,32
91,31
x,y
x,y
366,28
365,29
362,29
361,30
359,30
358,31
356,31
355,32
353,32
352,33
351,33
351,34
350,35
350,36
349,37
349,38
348,39
348,40
347,41
347,42
346,43
346,44
345,45
345,46
344,47
344,48
343,49
343,50
342,51
342,52
341,53
341,54
340,55
340,59
341,60
341,61
342,62
342,63
343,64
343,66
344,67
344,68
345,69
345,70
346,71
346,72
347,73
347,74
348,75
348,76
349,77
349,78
350,79
350,80
352,80
353,81
355,81
356,82
358,82
359,83
361,83
362,84
364,84
365,85
367,85
368,86
372,86
372,85
373,84
373,83
374,82
374,81
375,80
375,79
376,78
376,77
377,76
377,75
378,74
378,73
379,72
379,71
380,70
380,69
381,68
381,67
382,66
382,65
383,64
383,63
384,62
384,61
385,60
385,59
386,58
386,54
385,53
385,52
384,51
384,50
382,48
382,47
381,46
381,45
379,43
379,42
378,41
378,40
377,39
377,38
375,36
375,35
374,34
374,33
373,32
373,31
371,29
371,28
x,y
x,y
166,16
165,17
164,17
164,18
163,19
163,48
164,49
164,50
175,50
175,17
174,17
173,16
x,y
x,y
227,13
226,14
225,14
225,15
224,16
224,49
225,50
225,51
251,51
251,14
250,14
249,13
x,y
